time,server name,server id,latency,jitter,packet loss,download,upload,download bytes,upload bytes,share url
00:00,Natural Wireless - New York,16888,10.442,2.94,0,9888945,2828987,103817256,10270664,"https://www.speedtest.net/result/c/ac0e90bd-4272-4149-ade4-cd06cd10f0f5
"
01:00,Natural Wireless - New York,16888,9.356,2.449,0,15837706,2902718,201098240,11051136,"https://www.speedtest.net/result/c/b2736861-c549-495c-9677-8a4aaf998772
"
02:00,Natural Wireless - New York,16888,11.408,1.909,0,47488908,2913486,520357624,10539200,"https://www.speedtest.net/result/c/3cb2e213-536e-4962-8262-e1c26701217a
"
03:00,Natural Wireless - New York,16888,4.898,4.15,0,18877381,2913418,243252416,10816728,"https://www.speedtest.net/result/c/24c8d9e5-a61b-422b-b3ba-a3e7e9d7d7f2
"
04:00,Natural Wireless - New York,16888,11.719000000000001,2.3609999999999998,0,21570401,2915308,301007344,10529856,"https://www.speedtest.net/result/c/65eb91ba-4fab-4859-8b0d-9eb3f646b187
"
05:00,Natural Wireless - New York,16888,9.469,2.6910000000000003,0,15219127,2917339,120028528,10516824,"https://www.speedtest.net/result/c/b0ad03c6-9101-47d4-8a0b-57bf51fb668a
"
06:00,Natural Wireless - New York,16888,12.220999999999998,0.887,0,11363882,2903950,119257280,10502344,"https://www.speedtest.net/result/c/aa497856-4f85-436f-838e-e3afb29f92e2
"
07:00,Natural Wireless - New York,16888,5.5120000000000005,6.589,0,28433393,2916890,302802864,10508136,"https://www.speedtest.net/result/c/81615d56-9914-4780-85c1-23ad1cbd02c8
"
08:00,Natural Wireless - New York,16888,10.671,2.397,0,46233368,2914642,519024016,10535648,"https://www.speedtest.net/result/c/13f7f006-7291-4631-86ee-2e53c116e106
"
09:00,Natural Wireless - New York,16888,9.948,2.65,0,13309049,2918200,169999544,10557368,"https://www.speedtest.net/result/c/f305b1f3-de34-4c33-a754-cd8d6dfd19de
"
10:00,Natural Wireless - New York,16888,8.948,1.669,0,30433523,2916689,327497056,10531304,"https://www.speedtest.net/result/c/5c36d1bb-9ff4-49ce-aec4-6045761f895e
"
11:00,Natural Wireless - New York,16888,9.329,2.181,0,25190454,2910769,340385704,11364072,"https://www.speedtest.net/result/c/acf3411f-008a-4c30-b3d0-a3caa2409405
"
12:00,Natural Wireless - New York,16888,6.185,4.118,0,13902924,2630287,139902864,10054912,"https://www.speedtest.net/result/c/49595eea-048a-4276-83a6-34229d5e61e7
"
13:00,Natural Wireless - New York,16888,4.67,6.975,0,9982277,2700172,146331984,14656656,"https://www.speedtest.net/result/c/39d088aa-4a4e-413c-8467-5de3ca2699fd
"
14:00,Natural Wireless - New York,16888,9.896,3.423,0,18145060,2911522,251038312,10804976,"https://www.speedtest.net/result/c/196c30cc-aa78-4143-af1c-69b7b30d4bba
"
15:00,Natural Wireless - New York,16888,11.774,2.964,0,40121493,2896598,428820856,10467592,"https://www.speedtest.net/result/c/3311cf0a-0109-4598-a0ac-ed4bbdd4535e
"
16:00,Natural Wireless - New York,16888,8.531,3.8760000000000003,0,14552983,2793457,195646520,18611144,"https://www.speedtest.net/result/c/63de56e5-8429-45ad-b4c4-4ae270ea6529
"
17:00,Natural Wireless - New York,16888,9.958,2.109,0,23398746,2849829,294477776,17066128,"https://www.speedtest.net/result/c/b86c1672-3743-42f3-b71f-d87a2f514172
"
18:00,Natural Wireless - New York,16888,11.46,3.515,0,5865332,2901830,63752544,10483520,"https://www.speedtest.net/result/c/1a4e9928-d711-4587-a337-8a242e164f78
"
19:00,Natural Wireless - New York,16888,4.944,14.789,0,27106454,2908320,293888976,11077200,"https://www.speedtest.net/result/c/167566e9-31c3-485f-81a3-158c18917d61
"
20:00,Natural Wireless - New York,16888,10.332,4.61,0,17063451,2895845,218555328,13790752,"https://www.speedtest.net/result/c/7446efd2-c664-4551-a204-d8d9a1e23585
"
21:00,Natural Wireless - New York,16888,12.16,4.095,0,31846164,2896349,347806704,10487864,"https://www.speedtest.net/result/c/39e1b917-7b81-4836-a662-4fc9a0dd88da
"
22:00,Natural Wireless - New York,16888,9.795,10.934000000000001,0,27026984,2891609,382403768,10425976,"https://www.speedtest.net/result/c/8d07cd17-5e93-49da-9f42-11863bad01d7
"
23:00,Natural Wireless - New York,16888,10.208,5.913,0,43990770,2873703,509015440,11505808,"https://www.speedtest.net/result/c/6dda00ef-aa76-4119-a0ba-5a7225feb175
"
