time,server name,server id,latency,jitter,packet loss,download,upload,download bytes,upload bytes,share url
00:00,Natural Wireless - New York,16888,9.193999999999999,3.6860000000000004,0,14898960,2895770,164628912,33978768,"https://www.speedtest.net/result/c/5c40c5da-9526-49c3-ac23-acd6594436c8
"
01:00,Natural Wireless - New York,16888,8.923,8.576,0,20340207,2920264,209196904,10603704,"https://www.speedtest.net/result/c/f99c27c3-6b10-4bf5-9dd6-aff33a27c864
"
02:00,Natural Wireless - New York,16888,7.633999999999999,3.3,0,23673492,2894011,318207600,10442976,"https://www.speedtest.net/result/c/842fbcad-0c56-45cb-a54e-b266e1ae7aa5
"
03:00,Natural Wireless - New York,16888,12.224,1.856,0,25166797,2913511,256077352,10525512,"https://www.speedtest.net/result/c/94b5a6f4-6bd4-49ee-88e9-a317355f9f92
"
04:00,Natural Wireless - New York,16888,10.989,3.398,0,17367192,2901586,247413968,11033760,"https://www.speedtest.net/result/c/96983d77-fe3c-40e7-8a52-1ad451f44caa
"
05:00,Natural Wireless - New York,16888,10.25,3.057,0,18348982,2920562,247148984,10550128,"https://www.speedtest.net/result/c/ec9532c5-2a2f-49e2-9d54-508250a0b4fb
"
06:00,Natural Wireless - New York,16888,8.791,3.645,0,10755924,2894018,119538192,11292952,"https://www.speedtest.net/result/c/c9c27116-f13c-4724-b244-9485d3fc1b4f
"
07:00,Natural Wireless - New York,16888,8.466000000000001,5.184,0,16994627,2916837,179669288,10545784,"https://www.speedtest.net/result/c/a0612b35-27d2-4db9-ba55-71adbbd78379
"
08:00,Natural Wireless - New York,16888,10.234,2.71,0,15294022,2889228,224964176,10725584,"https://www.speedtest.net/result/c/b6eb4a01-348e-4920-a58c-05280a134ef3
"
09:00,Natural Wireless - New York,16888,12.925,1.827,0,9506612,2883639,86008304,10422704,"https://www.speedtest.net/result/c/33cf27bd-2b8a-4cd6-b7ca-0c32632b50a5
"
10:00,Natural Wireless - New York,16888,5.666,4.504,0,13519909,2855491,158013771,11974960,"https://www.speedtest.net/result/c/32ff5dfb-8ff7-4520-994c-a35c8aa42780
"
11:00,Natural Wireless - New York,16888,9.796,1.994,0,12746197,2911204,181726896,10503792,"https://www.speedtest.net/result/c/fb775c36-f7ef-4a59-b0b2-a90a1735127f
"
12:00,Natural Wireless - New York,16888,6.529,4.362,0,6835813,2882487,81273344,11579656,"https://www.speedtest.net/result/c/5563962c-261d-452d-89a0-e3366359891d
"
13:00,Natural Wireless - New York,16888,9.754,3.743,0,8984459,2846590,107460424,17425232,"https://www.speedtest.net/result/c/7c71ec54-d6dd-46a2-a1bd-7c6c6b8c27e4
"
14:00,Natural Wireless - New York,16888,4.581,3.997,0,14374432,2914232,70472712,10771672,"https://www.speedtest.net/result/c/4337bf83-0980-426e-ad35-8ff739f0df56
"
15:00,Natural Wireless - New York,16888,10.147,4.6530000000000005,0,7314686,2711931,70209176,11407344,"https://www.speedtest.net/result/c/1266978f-7ac7-4c32-be09-9985818244bb
"
16:00,Natural Wireless - New York,16888,10.181000000000001,1.472,0,8088826,2908002,87984824,10498000,"https://www.speedtest.net/result/c/1ac4a689-b975-4782-8924-3f645242d82b
"
17:00,Natural Wireless - New York,16888,4.96,6.614,0,7042448,2886122,104230184,11799752,"https://www.speedtest.net/result/c/961182cb-2f3f-43b7-b389-666546ee22b0
"
18:00,Natural Wireless - New York,16888,10.582,1.975,0,4234529,2334965,59902312,32132568,"https://www.speedtest.net/result/c/300b2e42-5d9f-46ed-9a51-2557ce133d8d
"
19:00,Natural Wireless - New York,16888,11.293,1.69,0,45940330,2899441,535441440,10479176,"https://www.speedtest.net/result/c/caa1f4eb-3eb7-4137-817f-c30bcb932880
"
20:00,Natural Wireless - New York,16888,7.816,5.952999999999999,0,54877681,2910407,563773008,12229808,"https://www.speedtest.net/result/c/444e7aff-660e-4340-bebd-11436f2d5b4a
"
21:00,Natural Wireless - New York,16888,9.566,3.637,0,30476836,2863388,303777368,10331480,"https://www.speedtest.net/result/c/d1fcc4ca-1a20-4573-b12f-7c1b3892d93e
"
22:00,Natural Wireless - New York,16888,10.51,10.119,0,59052523,2861571,617949515,20764488,"https://www.speedtest.net/result/c/ce3089ee-8e86-4be9-9358-7792dcb21f95
"
23:00,Natural Wireless - New York,16888,10.658,1.032,0,22363543,2908007,271846072,11979640,"https://www.speedtest.net/result/c/8786eeee-ead2-4a41-83ae-c6aaba3f365c
"
